"","ukr","en","NOTES – use \n for newline","max length"
"bookdesc04","The definition of death is the disjunction of the composite, \nbut there is no disjunction of that which is simple, for it is one.\nDeath consists in the separation of the soul from the body,\nbecause anything formed out of two, three,\nor four components must disintegrate, and this is death.\nUnderstand, further, that no complex substance which lacks fire eats, \ndrinks, or sleeps, because in all things which have a spirit \nfire is that which eats.\n","The definition of death is the disjunction of the composite, \nbut there is no disjunction of that which is simple, for it is one.\nDeath consists in the separation of the soul from the body,\nbecause anything formed out of two, three,\nor four components must disintegrate, and this is death.\nUnderstand, further, that no complex substance which lacks fire eats, \ndrinks, or sleeps, because in all things which have a spirit \nfire is that which eats.\n","doesn't need to be translated",""
"booktitle05","Смарагдова скрижаль - Том V","Emerald Tablet - volume V","doesn't need to be translated",""
"bookdesc05","And the Lord spake, saying,\n'First shalt hou take out the Holy Pin.\nThen, shalt thou count to three. No more. No less.\nThree shalt be the number thou shalt count, \nand the number of the counting shall be three. \nFour shalt thou not count, neither count thou two,\nexcepting that thou then proceed to three.\nFive is right out. Once at the number three, \nbeing the third number be reached, then,\nlobbest thou thy Holy Hand Grenade of Antioch towards \nthy foe, who, being naughty in My sight, shall snuff it.'","And the Lord spake, saying,\n'First shalt hou take out the Holy Pin.\nThen, shalt thou count to three. No more. No less.\nThree shalt be the number thou shalt count, \nand the number of the counting shall be three. \nFour shalt thou not count, neither count thou two,\nexcepting that thou then proceed to three.\nFive is right out. Once at the number three, \nbeing the third number be reached, then,\nlobbest thou thy Holy Hand Grenade of Antioch towards \nthy foe, who, being naughty in My sight, shall snuff it.'","doesn't need to be translated",""
"booktitle06","Смарагдова скрижаль - Том VI","Emerald Tablet - volume VI","doesn't need to be translated",""
"bookdesc06","Some Alchemists fancy that the work from beginning \nto end is a mere idle entertainment; but those who \nmake it so will reap what they have sown - nothing. \nWe know that next to the Divine Blessing,\nand the discovery of the proper foundation,\nnothing is so important as unwearied industry\nand perseverance in this First Operation.\nIt is no wonder, then, that so many students\nof this Art are reduced to beggary;\nthey are afraid of work, and look upon our Art as \nmere sport for their leisure moments. For no labour \nis more tedious than that which the preparatory part \nof our enterprise demands. \n","Some Alchemists fancy that the work from beginning \nto end is a mere idle entertainment; but those who \nmake it so will reap what they have sown - nothing. \nWe know that next to the Divine Blessing,\nand the discovery of the proper foundation,\nnothing is so important as unwearied industry\nand perseverance in this First Operation.\nIt is no wonder, then, that so many students\nof this Art are reduced to beggary;\nthey are afraid of work, and look upon our Art as \nmere sport for their leisure moments. For no labour \nis more tedious than that which the preparatory part \nof our enterprise demands. \n","doesn't need to be translated",""
"booktitle07","Смарагдова скрижаль - Том VII","Emerald Tablet - volume VII","doesn't need to be translated",""
"bookdesc07","Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ","Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ","doesn't need to be translated",""
"booktitle08","Смарагдова скрижаль - Том VIII","Emerald Tablet - volume VIII","doesn't need to be translated",""
"bookdesc08","Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n","Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n","doesn't need to be translated",""
"booktitle09","Смарагдова скрижаль - Том IX","Emerald Tablet - volume IX","doesn't need to be translated",""
"bookdesc09","In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n","In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n","doesn't need to be translated",""
"booktitle10","Смарагдова скрижаль - Том X ","Emerald Tablet - volume X ","doesn't need to be translated",""
"bookdesc10","Візьміть, каже він нам, золотий камінь, з'єднайте його з гумором, який є\n незмінною водою, поставте його, в посудині своїй, на тендітний вогонь,\nпоки не станеться розрідження.\n Потім полиште його, поки вода не висохне,\nта змішайте пісок з водою, після підсильте вогонь, поки не висохне воно,\nта стане землею. Коли це готово, розумійте, що тут починається арканум.\nРобіть це багато разів, поки дві третини води не згинуть, і являться вам кольори. ","Take, he tells us, the stone of gold, combine with humour which is\npermanent water, set in its vessel, over a gentle fire until liquefaction\ntakes place. Then leave it until the water dries, and the sand and\nwater are combined, one with another;  then let the fire be more intense\nthan before, until it again becomes dry, and is made earth. When this is done,\nunderstand that here is the beginning of the arcanum;  but do this many times, \nuntil two-thirds of the water perish, and colours manifest unto you. ","doesn't need to be translated",""
"booktitle_corpse","Tabula Smaragdina","Tabula Smaragdina","doesn't need to be translated",""
"bookdesc_corpse","If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.","If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.","doesn't need to be translated",""
"booktitle_tree","Secretorum Hermetis","Secretorum Hermetis","doesn't need to be translated",""
"bookdesc_tree","Принесення себе в жертву гонитві за\nзнанням - найкраще підношення богам.","The sacrifice of oneself to the pursuit of \nknowledge is the highest tribute to the gods.","doesn't need to be translated",""
"menu_paused","ПРИЗУПИНЕНО","PAUSED","",""
"menu_continue","Продовжити","Continue","",""
"menu_options","Налаштування","Options","",""
"menu_stats","Статистика","Stats","",""
"menu_progress","Прогрес","Progress","",""
"menu_releasenotes","Список змін","Release Notes","",""
"menu_credits","Автори","Credits","",""
"menu_newgame","Нова гра","New Game","",""
"menu_dailyrun","Щоденний забіг","Daily Run","",""
"menu_saveandquit","Зберегти та вийти","Save & Quit","",""
"menu_return","Повернутись","Return","",""
"menu_applyandreturn","Застосувати та повернутись","Apply & Return","",""
"menu_cancel","Скасувати","Cancel","",""
"menu_yes","Так","Yes","",""
"menu_no","Ні","No","",""
"menu_ok","Ок","Ok","",""
"menu_high","Висока","High","",""
"menu_medium","Середня","Medium","",""
"menu_low","Низька","Low","",""
"option_on","Увiмк.","On","",""
"option_off","Вимк.","Off","",""
"option_adaptive","Адаптивна","Adaptive","",""
"menu_newgame_areyousure","Ви впевнені, що хочете почати нову гру? Весь прогрес поточного забігу буде втрачений!","Are you sure you want to start a new game? All progress from current run will be lost.","",""
"menuoptions_windowmode","Віконний режим: $0","Window mode: $0","",""
"windowmode_windowed","У вікні","Windowed","",""
"windowmode_fullscreen","Повноекранний (віконний)","Fullscreen (windowed)","",""
"windowmode_fullscreen_real","Повноекранний","Fullscreen (real)","",""
"menuoptions_resolution","Роздільна здатність: $0","Resolution: $0","",""
"menuoptions_resolution_illegible"," - ПОПЕРЕДЖЕННЯ: Зображення може бути нерозбірливим!"," - WARNING: Might be illegible!","",""
"menuoptions_matchresolution","Використовувати роздільну здатність екрана","Use current display's resolution","",""
"menuoptions_applydisplay","Застосувати налаштування екрана","Apply display settings","",""
"menuoptions_renderingquality","Якість візуалізації","Rendering quality","",""
"menuoptions_lowqualityrendering","Низька якість візуалізації: $0","Low quality rendering: $0","",""
"menuoptions_vsync","Вертикальна синхронізація: $0","Vsync: $0","",""
"menuoptions_display_areyousure","Бажаєте зберегти нові налаштування вікна? Старі налаштування будуть відновлені через $0 секунд.","Do you want to keep the new display settings? Old settings will be restored in $0 seconds.","",""
"menuoptions_resetsave","Скинути весь прогрес","Reset all progress","",""
"menuoptions_resetsave_areyousure","Ви впевнені, що хочете скинути весь прогрес? Ця дія незворотна!","Are you sure you want to reset all progress? This cannot be undone!","",""
"menugameover_newgame","Нова гра","New Game","",""
"menugameover_savereplay","Зберегти запис смерті","Save death replay","",""
"menugameover_quit","Вийти","Quit","",""
"menugameover_gamecompleted","ГРА ПРОЙДЕНА!","COMPLETED THE GAME!","",""
"menugameover_nextbutton","Ви мертві - натисніть тут для статистики","You are dead - click here for stats","",""
"menugameover_records","ЗАПИСИ","RECORDS","as in 'world record'",""
"menuoptions_pixelart_aa","Згладжування пікселів: $0","Pixel art anti-aliasing: $0","",""
"menuoptions_lowres","Відтворення з низькою роздільною здатністю: $0","Low resolution rendering: $0","",""
"menuoptions_lowres_tooltip_exp","ЕКСПЕРИМЕНТАЛЬНО. Може викликати незначні збої відображення.","EXPERIMENTAL. Might cause minor rendering glitches.","",""
"menuoptions_lowres_tooltip","Поліпшує продуктивність рендеру, але може спричинити незначні збої відображення.","Improves rendering performance, but might cause minor rendering glitches.","",""
"menuoptions_brightness","Яскравість","Brightness","",""
"menuoptions_contrast","Контрастність","Contrast","",""
"menuoptions_gamma","Гамма","Gamma","",""
"menuoptions_reset_keyboard","Натисніть ПКМ, щоб повернути до початкових.","Right click to reset to default.","",""
"menuoptions_reset_gamepad","Натисніть B, щоб скинути до початкових.","Press B to reset to default.","",""
"menuoptions_musicvolume","Гучність музики","Music volume","",""
"menuoptions_soundsvolume","Гучність звукових ефектів","Sound effect volume","",""
"menuoptions_configurecontrols","Налаштувати керування","Configure controls","",""
"menuoptions_configurecontrols_reset_all","Відновити до початкових","Reset all to default","",""
"menuoptions_configurecontrols_rebind_keyboard","Натисніть клавішу або кнопку для «$0»","Press the key or button for $0","",""
"menuoptions_configurecontrols_rebind_gamepad","Натисніть кнопку для «$0»","Press the button for $0","",""
"menuoptions_controls","Контролер: $0","Gamepad: $0","",""
"menuoptions_mousesensitivity","Чутливість миші","Mouse sensitivity","",""
"menuoptions_controls_keyboard","Мишка + Клавіатура","Mouse + Keyboard","",""
"menuoptions_controls_autodetectgamepad","Автовизначення","Auto-detect","",""
"menuoptions_gamepad_rumble","Інтенсивність вібрації контролера","Gamepad rumble intensity","",""
"menuoptions_ui_inventory_icons_always_clickable","Натискання на іконку змінює предмет: $0","Click on icon switches item: $0","",""
"menuoptions_application_rendered_cursor","Ігровий курсор: $0","Game renders the cursor: $0","",""
"menuoptions_screenshake_intensity","Інтенсивність тремтіння екрана","Screen shake intensity","",""
"menuoptions_damagenumbers","Цифри пошкоджень: $0","Damage numbers: $0","",""
"menuoptions_replayrecorder","Запис повторів: $0","Replay recorder: $0","",""
"menuoptions_checkforupdates","Перевірка наявності оновлень: $0","Check for updates: $0","",""
"menuoptions_language","Мова: Українська","Language: English","",""
"menuupdatenotification_title","ДОСТУПНЕ ОНОВЛЕННЯ","NEW UPDATE AVAILABLE","",""
"menuupdatenotification_description_generic","Доступна нова версія!\nНатисніть тут, щоб побачити зміни","A new build of Noita is now available!\nClick here for release notes","",""
"menureleasenotes_notavailable","Немає доступного списку змін","No release notes available","",""
"menureleasenotes_eawarning","Вітаємо в Noita!\nNoita знаходиться в ранньому доступі.\nВона містить помилки й навіть іноді може вилітати!\nМи наполегливо працюємо над виправленням помилок та додаванням нового контенту.","Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.","PLACEHOLDER",""
"controls_up","Вгору","up","",""
"controls_down","Вниз","down","",""
"controls_left","Ліворуч","left","",""
"controls_right","Праворуч","right","",""
"controls_sprayflask","Лити з фляги","spray from potion","",""
"controls_throw","Кинути","throw","",""
"controls_kick","Копнути","kick","",""
"controls_inventory","Відкрити/закрити інвентар","open/close inventory","",""
"controls_itemnext","Наступний предмет","next item","",""
"controls_itemprev","Попередній предмет","previous item","",""
"controls_itemslot1","Вибрати предмет в комірці 1","select item in slot 1","",""
"controls_itemslot2","Вибрати предмет в комірці 2","select item in slot 2","",""
"controls_itemslot3","Вибрати предмет в комірці 3","select item in slot 3","",""
"controls_itemslot4","Вибрати предмет в комірці 4","select item in slot 4","",""
"controls_itemslot5","Вибрати предмет в комірці 5","select item in slot 5","",""
"controls_itemslot6","Вибрати предмет в комірці 6","select item in slot 6","",""
"controls_itemslot7","Вибрати предмет в комірці 7","select item in slot 7","",""
"controls_itemslot8","Вибрати предмет в комірці 8","select item in slot 8","",""
"controls_itemslot9","Вибрати предмет в комірці 9","select item in slot 9","",""
"controls_itemslot10","Вибрати предмет в комірці 10","select item in slot 10","",""
"controls_escape","Призупинити/закрити","pause/close","",""
"hud_air_unit","О2","o2","",""
"hud_air","Кисень: $0 / $1","Air: $0 / $1","",""
"hud_health","Здоров'я: $0 / $1","Health: $0 / $1","",""
"hud_jetpack","Енергія левітації: $0 / $1","Levitation energy: $0 / $1","",""
"hud_wand_mana","Мана палички: $0 / $1","Wand mana: $0 / $1","",""
"hud_wand_reload","Перезаряджання палички: $0 с","Wand recharge: $0 s","",""
"hud_gold","Золото: $0","Gold: $0","",""
"hud_orbs","Зібрано сфер: $0","Orbs collected: $0","",""
"hud_title_wands","ПАЛИЧКИ","WANDS","",""
"hud_title_throwables","ПРЕДМЕТИ","ITEMS","",""
"hud_title_actionstorage","ЗАКЛИНАННЯ","SPELLS","",""
"menu_newwand_title","НОВА ПАЛИЧКА","NEW WAND","",""
"menu_newwand_pressagain_pick","Натисніть $0 знову, щоб підібрати паличку","Press $0 again to pick the wand","",""
"menu_newwand_pressagain_cancel","Натисніть $0, щоб скасувати","Press $0 to cancel","",""
"menu_newwand_whichwand_gamepad","ЯКУ ПАЛИЧКУ ВИ ХОЧЕТЕ ВИКИНУТИ?","WHICH WAND DO YOU WANT TO DROP?","",""
"menu_newwand_whichwand_keyboard","ЯКУ ПАЛИЧКУ ВИ ХОЧЕТЕ ВИКИНУТИ? (Натисніть на неї!)","WHICH WAND DO YOU WANT TO DROP? (Click it!)","",""
"menu_newwand_emptyslot","$0 - порожня комірка","$0 - empty slot","",""
"menu_newbook_pressagain_pick","Натисніть $0 знову, щоб вибрати книгу","Press $0 again to pick the book","",""
"menu_newbook_pressagain_close","Натисніть $0, щоб закрити","Press $0 to close","",""
"item_empty","Порожньо","Empty","",""
"item_wand","Паличка","Wand","",""
"item_potion","Фляга","Potion","",""
"item_cocktail","Коктейль","Cocktail","",""
"item_orb","Сфера","Orb","",""
"item_description_potion","Спорядити та кинути","Equip and throw","",""
"item_description_egg","Спорядити та кинути","Equip and throw","",""
"item_potion_with_material","$0 в флязі ","$0 potion","",""
"item_potion_fullness"," ($0% наповненості)"," ($0% full)","",""
"item_potion_empty","Порожня","Empty","",""
"item_egg","Яйце","Egg","",""
"item_chest_treasure","Скринька скарбів","Treasure chest","",""
"item_goldnugget","Золотий самородок","Gold nugget","",""
"item_heart","Додаткове максимальне здоров’я","Extra max HP","",""
"item_heart_better","Велике додаткове максимальне здоров’я","Large extra max HP","",""
"item_heart_fullhp","Повне відновлення здоров’я","Full health regeneration","",""
"item_unidentified","Невідомий предмет","Unidentified item","",""
"itempickup_notenoughgold","Недостатньо золота для придбання «$0»","Not enough gold to purchase '$0'","",""
"itempickup_purchase","Натисніть $0, щоб придбати «$1»","Press $0 to purchase '$1'","",""
"itempickup_pick","Натисніть $0, щоб підібрати «$1»","Press $0 to pick '$1'","",""
"itempickup_read","Натисніть $0, щоб прочитати «$1»","Press $0 to read '$1'","",""
"itempickup_purchase_swap","Натисни $0, щоб придбати «$1» і поміняти предмет з ним","Press $0 to purchase '$1' and swap an item with it","",""
"itempickup_pick_swap","Натисніть $0, щоб замінити предмет на «$1»","Press $0 to swap an item with '$1'","",""
"itempickup_cannotpick","Неможливо підняти «$0». Будь ласка, позбудьтесь предмета, щоб звільнити місце для нього","Cannot pick '$0'. Please get rid of an item to make space for it","",""
"itempickup_cannotpick_closeinventory","Закрийте інвентар, щоб підняти «$0»","Close the inventory first to pick '$0'","",""
"hint_editwands","Натисніть $0, щоб редагувати палички","Press $0 to tinker with wands","",""
"hint_endingmcguffin_use","Натисни $0, щоб завершити Твір","Press $0 to complete the Work","",""
"log_pickedup_perk","$0 ","$0 ","",""
"log_pickedup","Ви підібрали: $0","Picked up $0","",""
"log_equipped","Споряджено: $0","Equipped $0","",""
"log_entered","Ви увійшли до $0","Entered $0","",""
"log_damage","Шкода: $0","Damage: $0","",""
"log_death","Смерті: $0","Death: $0","",""
"log_teleported","Телепортація!","Teleported!","",""
"log_teleported_something","Щось увійшло в телепорт неподалік","Something entered a teleport nearby","",""
"log_gamefx_savinggrace","Рятівна благодать врятувала вас!","Saving Grace saved you!","",""
"log_gamefx_respawn","У вас є ще один шанс!","You get one more chance!","",""
"logdesc_gamefx_respawn","Додаткове життя врятувало вас","Extra life saved you","",""
"log_recharging","ПЕРЕЗАРЯДЖАННЯ...","RECHARGING..","",""
"log_blindness","Тимчасове осліплення!","Temporarily blinded!","",""
"log_polymorph","Перетворення!","Polymorphed!","",""
"log_block_attack","ЗАБЛОКОВАНО","BLOCK","",""
"log_coop_resurrected","ВІДРОДЖЕННЯ","RESURRECTED","",""
"log_coop_resurrected_player","Відродив гравця $0!","Resurrected player $0!","",""
"log_coop_partner_is_dead","Партнер помер!","Partner is dead!","",""
"log_coop_started","КООПЕРАТИВ!","CO-OP!","",""
"log_chest","Відчинена скринька скарбів!","Opened a treasure chest!","",""
"logdesc_chest_gold","Отримано $0 золота!","You got $0 gold!","",""
"log_heart","Ви підібрали додаткове макс. здоров'я","Picked up Extra Max Health","",""
"logdesc_heart","Максимальне здоров’я збільшено до $0","Increased maximum health to $0","",""
"logdesc_heart_blocked","Максимальне здоров’я збільшено до $0 ...але якогось роду прокляття блокує збільшення максимального здоров’я!","Increased maximum health to $0 ..but some sort of curse blocked the increase of maximum health!","",""
"log_heart_better","Ви підібрали додаткове макс. здоров'я","Picked up Extra Max Health","",""
"logdesc_heart_better","Максимальне здоров’я збільшено до $0","Increased maximum health to $0","",""
"log_heart_fullhp","Ви підібрали повне відновлення здоров’я","Picked up Full Health Regeneration","",""
"log_discovered","Досліджено $0","You have discovered $0","",""
"inventory_sort","Сортування","Sort","",""
"inventory_shuffle","Тасування","Shuffle","",""
"inventory_shuffle_tooltip","Палички з тасуванням чаклують свої заклинання у випадковому порядку.","Wands that shuffle cast their spells in random order.","",""
"inventory_actionspercast","Заклинань за раз","Spells/Cast","",""
"inventory_actionspercast_tooltip","Кількість заклинань, яку паличка чаклує при використанні.","The number of spells this wand casts when used.","",""
"inventory_castdelay","Затримка чаклування","Cast delay","",""
"inventory_castdelay_tooltip","Час між заклинаннями.","The time between casts.","",""
"inventory_rechargetime","Перезаряджання","Rechrg. Time","",""
"inventory_rechargetime_tooltip","Час який займає перезаряджання всіх заклинань після того, як вони були використані.","The time it takes for this wand to recharge when all spells inside it have been cast.","",""
"inventory_manamax","Максимум мани","Mana max","",""
"inventory_manamax_tooltip","Максимальна кількість мани, яку може зберігати ця паличка.","Maximum amount of mana this wand can store.","",""
"inventory_manachargespeed","Відновлення мани","Mana chg. Spd","",""
"inventory_manachargespeed_tooltip","Швидкість відновлення мани в паличці.","This wand's mana regeneration speed.","",""
"inventory_capacity","Місткість","Capacity","",""
"inventory_capacity_tooltip","Кількість заклинань, що може містити ця паличка.","The number of spells that can be inserted into this wand.","",""
"inventory_spread","Відхил","Spread","",""
"inventory_spread_tooltip","Можливе відхилення снарядів цієї палички від напряму використання.","The directional deviation of projectiles casted by this wand.","",""
"inventory_chargecapacity","Запас заряду","Charge capacity","",""
"inventory_alwayscasts","Завжди використовує","Always casts","",""
"inventory_alwayscasts_description","Ця паличка активує деякі заклинання при кожному використанні.","This wand casts some spells every time it's used.","",""
"inventory_usesremaining","Зарядів","Uses remaining","",""
"inventory_actiontype","Тип","Type","",""
"inventory_manadrain","Витрата мани","Mana drain","",""
"inventory_damage","Шкода","Damage","",""
"inventory_dmg_explosion","Шкода вибуху","Dmg. Expl","",""
"inventory_explosion_radius","Радіус вибуху","Expl. Radius","",""
"inventory_dmg_slice","Шкода розрізу","Dmg. Slice","",""
"inventory_dmg_drill","Шкода буріння","Dmg. Drill","",""
"inventory_dmg_fire","Шкода вогню","Dmg. Fire","",""
"inventory_dmg_ice","Шкода льоду","Dmg. Ice","",""
"inventory_speed","Швидкість","Speed","",""
"inventory_mod_castdelay","Затримка чаклування","Cast delay","",""
"inventory_mod_rechargetime","Перезаряджання","Recharge time","",""
"inventory_mod_bounces","Відскоків","Bounces","",""
"inventory_mod_speed","Швидкість снаряда","Proj. Speed","",""
"inventory_mod_explosion_radius","Радіус вибуху","Expl. Radius","",""
"inventory_mod_spread","Розкид","Spread","",""
"inventory_mod_knockback","Відштовхування","Knockback","",""
"inventory_mod_damage","Пошкодження","Damage","",""
"inventory_mod_damage_melee","Ближня шкода","Dmg. Melee","",""
"inventory_mod_damage_electric","Шкода електрики","Dmg. Electric","",""
"inventory_mod_damage_fire","Шкода вогню","Dmg. Fire","",""
"inventory_mod_damage_explosion","Шкода вибухів","Dmg. Expl","",""
"inventory_mod_critchance","Шанс крита","Crit. Chance","",""
"inventory_warning_noactions","УВАГА — Ця паличка не містить заклинань","WARNING - This wand contains no spells","",""
"inventory_warning_noactions_description","Паличка нічого не робить. Помістіть кілька заклинань в комірки палички.","The wand doesn't do anything. Place some spells into the wand's slots.","",""
"inventory_warning_notenoughmana","УВАГА — У цієї палички недостатньо мани для «$0»","WARNING - This wand doesn't have enough mana for $0","",""
"inventory_warning_notenoughmana_description","Паличка має максимум $0 мани. Використання «$1» потребує $2 мани.","Wand has max $0 mana. Casting $1 requires $2 mana.","",""
"inventory_info_frozen","ІНФО — Ця паличка була заморожена","INFO - This wand has been frozen","",""
"inventory_info_frozen_description","Заклинання запобігає налаштуванню палички.","A spell prevents the wand from being customized.","",""
"inventory_seconds","$0 с","$0 s","",""
"inventory_degrees","$0 градусів","$0 DEG","",""
"inventory_actiontype_projectile","Снаряд","Projectile","",""
"inventory_actiontype_staticprojectile","Статичний снаряд","Static proj.","",""
"inventory_actiontype_modifier","Модифікатор снаряда","Proj. modifier","",""
"inventory_actiontype_drawmany","Мультизаклинання","Multicast","",""
"inventory_actiontype_material","Матеріал","Material","",""
"inventory_actiontype_other","Інше","Other","",""
"inventory_actiontype_utility","Допоміжне","Utility","",""
"inventory_actiontype_passive","Пасивне","Passive","",""
"item_spell_refresh","Відновлення заклинань","Spell refresher","",""
"itemtitle_spell_refresh","Ви підібрали відновлення заклинань","Picked up Spell refresher","",""
"itemdesc_spell_refresh","Всі заклинання відновлені","All spells refreshed","",""
"itemtitle_wand_pickup","Ви підібрали нову чарівну паличку","Picked up a new magic wand","",""
"itemtitle_chest_open","Відкрита скринька скарбів!","Opened a treasure chest!","",""
"itemtitle_chest_broken_open","Скринька скарбів була розбита","A chest was broken open","",""
"log_endcrystal","Ви торкнулися проклятого кристалу!","Touched the cursed crystal!","",""
"logdesc_endcrystal","Щось ворушиться над вами","Something stirs above you","",""
"logdesc_temple_spawn_guardian","Ви розлютили богів","You have angered the Gods","",""
"logdesc_gods_are_angry","Ви розлютили богів","You have angered the Gods","",""
"logdesc_gods_are_very_angry","Боги дуже гніваються на вас","The Gods are very angry with you","",""
"damage_projectile","снаряд","projectile","",""
"damage_electricity","електрика","electricity","",""
"damage_explosion","вибух","explosion","",""
"damage_fire","вогонь","fire","",""
"damage_melee","ближній бій","melee","",""
"damage_drill","свердління","drill","",""
"damage_slice","різання","slice","",""
"damage_ice","лід","ice","",""
"damage_healing","зцілення","healing","",""
"damage_physicshit","сильний удар","physics hit","",""
"damage_radioactive","токсини","toxic","",""
"damage_poison","отрута","poison","",""
"damage_water","намокання","wetness","",""
"damage_fall","падіння","fall","",""
"damage_drowning","утоплення","drowning","",""
"damage_frommaterial","шкода від матеріалу: $0","damage from material: $0","",""
"damage_kick","копняк","kick","",""
"damage_holy_mountains_curse","Прокляття Святої Гори","Holy Mountain's curse","",""
"stat_depth","Глибина:","Depth:","",""
"stat_time","Час:","Time:","",""
"stat_places_visited","Відвіданих місць:","Places visited:","",""
"stat_enemies_slain","Вбито ворогів:","Enemies slain:","",""
"stat_max_hp","Максимальне здоров’я:","Max HP:","",""
"stat_gold","Золото:","Gold:","",""
"stat_items_found","Знайдено предметів:","Items found:","",""
"stat_orbs","Зібрано сфер:","Orbs collected:","",""
"stat_total_deaths","Загалом смертей:","Total deaths:","",""
"stat_total_play_time","Загальний час гри:","Total play time:","",""
"stat_total_wins","Загалом перемог:","Total wins:","",""
"stat_cause_of_death","Причина смерті: $0","Cause of death: '$0'","",""
"stat_best","(Найбільше: $0)","(Best: $0)","",""
"credits_music","З музикою від From Grotto та Niilo Takalainen","With music by From Grotto and Niilo Takalainen","",""
"credits_sounddesign","Звуковий дизайн Niilo Takalainen","Sound design by Niilo Takalainen","",""
"credits_fmod","Noita використовує FMOD Studio від Firelight Technologies Pty Ltd","Noita uses FMOD Studio by Firelight Technologies Pty Ltd","",""
"credits_copyright","Noita (c) Nolla Games Oy 2019","Noita (c) Nolla Games Oy 2019","",""
"progress_perks","Здібності","Perks","",""
"progress_actions","Заклинання","Spells","",""
"progress_secrets","Секрети","Secrets","",""
"progress_enemies","Вороги","Enemies","",""
"progress_unlocked","Розблоковано","Unlocks","",""
"progress_completed","Секретів знайдено: $0 $1","$0 $1 secret(s) found","",""
"progress_kills","Вбито: $0","Kills: $0","",""
"progress_unknown","???","???","",""
"progress_ending0","Досліджено секрет унизу - ","Discovered the secret below - ","",""
"progress_ending1","Досліджено секрет зверху - ","Discovered the secret above - ","",""
