,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
menu_newgame,New Game,Новая игра,Novo jogo,Nueva partida,Neues Spiel,Nouvelle partie,Nuova partita,Nowa gra,新游戏,新規ゲーム,새 게임,,,,,,,,,,,,,
menu_dailyrun,Daily Run,Ежедневное прохождение,Jornada diária,Desafío diario,Täglicher Durchgang,Défi quotidien,Sfida giornaliera,Codzienne podejście,每日游戏,デイリーラン,매일 달리기,,,,,,,,,,,,,
menu_saveandquit,Save & Quit,Сохранить и выйти,Salvar e sair,Guardar y salir,Speichern & Beenden,Sauvegarder et quitter,Salva ed esci,Zapisz i wyjdź,保存并退出,保存して終了,저장 및 종료,,,,,,,,,,,,,
menu_return,Return,Вернуться,Voltar,Volver,Zurück,Retour,Torna indietro,Wróć,返回,戻る,돌아가기,,,,,,,,,,,,,
menu_applyandreturn,Apply & Return,Применить и вернуться,Aplicar e voltar,Aplicar y volver,Anwenden & Zurück,Appliquer et quitter,Applica e torna indietro,Zastosuj i wróć,应用并返回,適用して戻る,적용 및 돌아가기,,,,,,,,,,,,,
menu_cancel,Cancel,Отмена,Cancelar,Cancelar,Abbrechen,Annuler,Annulla,Anuluj,取消,キャンセル,취소,,,,,,,,,,,,,
menu_yes,Yes,Да,Sim,Si,Ja,Oui,Sì,Tak,是,はい,예,,,,,,,,,,,,,
menu_no,No,Нет,Não,No,Nein,Non,No,Nie,否,いいえ,아니오,,,,,,,,,,,,,
menu_ok,Ok,OК,OK,Aceptar,Ok,D'accord,Ok,OK,确定,OK,확인,,,,,,,,,,,,,
menu_high,High,Высоко,Alto,Alto,Hoch,Haut,Alto,Wysokie,高,高,높음,,,,,,,,,,,,,
menu_medium,Medium,Средне,Médio,Medio,Mittel,Moyen,Medio,Średnie,中,中,보통,,,,,,,,,,,,,
menu_low,Low,Низко,Baixo,Bajo,Niedrig,Bas,Basso,Niskie,低,低,낮음,,,,,,,,,,,,,
option_on,On,Вкл.,Lig.,Activado,An,Activer,Sì,Wł.,开,オン,켜기,,,,,,,,,,,,,
option_off,Off,Выкл.,Desl.,Desactivado,Aus,Désactiver,No,Wył.,关,オフ,끄기,,,,,,,,,,,,,
option_adaptive,Adaptive,Адаптивная,Adaptável,Adaptativa,Adaptiv,Adaptative,Adattiva,Elastyczne,自适应,アダプティブ,적응형,,,,,,,,,,,,,
menu_newgame_areyousure,Are you sure you want to start a new game? All progress from current run will be lost.,Действительно начать новую игру? Прогресс в текущем прохождении будет потерян.,Começar novo jogo? Todo o progresso da jornada atual será perdido.,¿Seguro que quieres empezar una nueva partida? Se perderá todo el progreso de la partida actual.,"Bist du sicher, dass du ein neues Spiel starten willst? Der gesamte Fortschritt des aktuellen Durchgangs geht verloren.",Voulez-vous vraiment démarrer une nouvelle partie ? Toute la progression de la partie actuelle sera perdue.,Vuoi iniziare una nuova partita? Tutti i progressi della partita attuale saranno persi.,Czy na pewno chcesz rozpocząć nową grę? Cały postęp z bieżącego podejścia zostanie utracony.,确定要开始新的游戏吗？当前游戏的进展将会丢失。,本当に新規のゲームを開始しますか？現在のランでの進行度は失われます。,새 게임을 시작하시겠습니까? 이번 게임의 모든 진행 내역이 사라집니다.,,,,,,,,,,,,,
menuoptions_windowmode,Window mode: $0,Оконный режим: $0,Modo janela: $0,Modo de ventana: $0,Fenstermodus: $0,Mode fenêtré : $0,Modalità finestra: $0,Tryb ekranu: $0,窗口模式：$0,ウィンドウモード：$0,창 모드: $0,,,,,,,,,,,,,
windowmode_windowed,Windowed,Оконный,Janela,Ventana,Fenster,Fenêtré,Con finestra,W oknie,窗口化,ウィンドウ表示,창 모드,,,,,,,,,,,,,
windowmode_fullscreen,Fullscreen (windowed),Полноэкранный (в окне),Tela cheia (em janela),Pantalla completa con bordes,Vollbild (Fenster),Plein écran (fenêtré),Schermo intero (finestra),Pełny ekran (w oknie),全屏（窗口）,フルスクリーン(ウィンドウ表示),전체화면 (창 모드),,,,,,,,,,,,,
windowmode_fullscreen_real,Fullscreen (real),Полноэкранный,Tela cheia (real),Pantalla completa sin bordes,Vollbild (ganz),Plein écran (réel),Schermo intero (effettivo),Pełny ekran (rzeczywisty),全屏（完全）,フルスクリーン(リアル),전체화면 (실제),,,,,,,,,,,,,
menuoptions_resolution,Resolution: $0,Разрешение: $0,Resolução: $0,Resolución: $0,Auflösung: $0,Résolution : $0,Risoluzione: $0,Rozdzielczość: $0,分辨率：$0,解像度：$0,해상도: $0,,,,,,,,,,,,,
menuoptions_resolution_illegible, - WARNING: Might be illegible!, — ВНИМАНИЕ: изображение может быть неразличимым!, AVISO: pode ficar ilegível!, - ADVERTENCIA: ¡Podría ser ilegible!, - WARNUNG: Könnte unleserlich sein!, - AVERTISSEMENT : risque d'être illisible !, ATTENZIONE: potrebbe risultare illeggibile!, – UWAGA: potencjalnie nieczytelne!, - 警告：画面可能难以辨识！, - 警告：判読できない可能性があります！, - 경고: 읽을 수 없을지 모릅니다!,,,,,,,,,,,,,
menuoptions_matchresolution,Use current display's resolution,Использовать текущее разрешение экрана,Usar resolução atual da tela,Usar la resolución actual del monitor,Die aktuelle Bildschirmauflösung verwenden,Faire correspondre la résolution à la résolution d'affichage actuelle,Usa la risoluzione attuale dello schermo,Użyj rozdzielczości obecnego ekranu,使用当前显示分辨率,現在のディスプレイ解像度に合わせる,현재 해상도 사용,,,,,,,,,,,,,
menuoptions_applydisplay,Apply display settings,Применить настройки отображения,Aplicar configurações de vídeo,Aplicar ajustes de pantalla,Bildschirmeinstellungen anwenden,Appliquer les paramètres d'affichage,Applica le impostazioni dello schermo,Zastosuj ustawienia wyświetlania,应用显示设置,ディスプレイ設定を適用する,모니터 설정 적용,,,,,,,,,,,,,
menuoptions_renderingquality,Rendering quality,Качество отрисовки,Qualidade da renderização,Calidad de renderizado,Darstellungsqualität,Qualité du rendu,Qualità rendering,Jakość renderowania,渲染质量,レンダリングクオリティー,렌더링 품질,,,,,,,,,,,,,
menuoptions_lowqualityrendering,Low quality rendering: $0,Низкокачественная отрисовка: $0,Renderização de baixa qualidade: $0,Renderizado de baja calidad: $0,Niedrige Darstellungsqualität: $0,Rendu basse qualité : $0,Rendering bassa qualità: $0,Niska jakość renderowania: $0,低质量渲染：$0,低クオリティレンダリング：$0,낮은 품질 렌더링: $0,,,,,,,,,,,,,
menuoptions_vsync,Vsync: $0,Верт. синхронизация: $0,Sincronização vertical: $0,Sincronización vertical: $0,Vsync: $0,Synchro verticale : $0,Vsync: $0,Vsync: $0,垂直同步：$0,垂直同期：$0,수직 동기화: $0,,,,,,,,,,,,,
menuoptions_display_areyousure,Do you want to keep the new display settings? Old settings will be restored in $0 seconds.,Сохранить новые настройки отображения? Предыдущие значения будут восстановлены через $0 с.,Manter as novas configurações de vídeo? As antigas configurações serão restauradas em $0 segundos.,¿Quieres mantener los ajustes de pantalla? Se restaurarán los ajustes anteriores en $0 segundos.,Möchtest du die neuen Bildschirmeinstellungen beibehalten? Die alten Einstellungen werden in $0 Sekunden wiederhergestellt.,Voulez-vous conserver les nouveaux paramètres d'affichage ? Les anciens paramètres seront restaurés dans $0 secondes.,Vuoi mantenere le nuove impostazioni dello schermo? Le vecchie impostazioni saranno ripristinate tra $0 secondi.,Czy chcesz zachować nowe ustawienia wyświetlania? Stare ustawienia zostaną przywrócone za $0 sek.,要保留新的显示设置吗？$0 秒后将还原旧设置。,新しいディスプレイ設定を保持しますか？以前の設定が$0秒後に復元されます。,새 디스플레이 설정을 유지하시겠습니까? $0초 뒤에 예전 설정으로 돌아갑니다.,,,,,,,,,,,,,
menuoptions_resetsave,Reset all progress,Сбросить весь прогресс,Redefinir todo o progresso,Reiniciar todo el progreso,Gesamten Fortschritt zurücksetzen,Réinitialiser toute la progression,Reimposta tutti i progressi,Zresetuj wszystkie postępy,重置所有进展,全ての進行度をリセットする,모든 진행 상황 초기화,,,,,,,,,,,,,
menuoptions_resetsave_areyousure,Are you sure you want to reset all progress? This cannot be undone!,Действительно сбросить весь прогресс? Это действие нельзя отменить!,Redefinir todo o progresso? Isto é permanente!,¿Seguro que quieres reiniciar todo el progreso? ¡Esta acción no se podrá deshacer!,"Bist du sicher, dass du den gesamten Fortschritt zurücksetzen willst? Dies kann nicht rückgängig gemacht werden!",Voulez-vous vraiment réinitialiser toute la progression ? Cette action est irréversible !,Vuoi reimpostare tutti i progressi? L'operazione è irreversibile!,Czy na pewno chcesz zresetować wszystkie postępy? Nie można tego cofnąć!,确定要重置所有进展吗？此操作无法撤销！,本当に全ての進行度をリセットしますか？これを実行すると、やり直すことはできません！,모든 진행 상황을 초기화하시겠습니까? 되돌릴 수 없습니다!,,,,,,,,,,,,,
menugameover_newgame,New Game,Новая игра,Novo jogo,Nueva partida,Neues Spiel,Nouvelle partie,Nuova partita,Nowa gra,新游戏,新規ゲーム,새 게임,,,,,,,,,,,,,
menugameover_savereplay,Save death replay,Сохранить повтор смерти,Salvar replay de morte,Guardar repetición de la muerte,Todeswiederholung speichern,Sauvegarder la vidéo de la mort,Salva replay morte,Zapisz powtórkę śmierci,保存死亡回放,デスリプレイを保存する,사망 리플레이 저장,,,,,,,,,,,,,
menugameover_quit,Quit,Выход,Sair,Salir,Beenden,Quitter,Esci,Wyjdź,退出,終了,종료,,,,,,,,,,,,,
menugameover_gamecompleted,COMPLETED THE GAME!,ИГРА ПРОЙДЕНА!,JOGO CONCLUÍDO!,¡JUEGO COMPLETADO!,SPIEL ABGESCHLOSSEN!,A TERMINÉ LE JEU !,GIOCO COMPLETATO!,UKOŃCZONO GRĘ!,游戏完成！,ゲームをクリアしました！,게임을 완료했습니다!,,,,,,,,,,,,,
menugameover_nextbutton,You are dead - click here for stats,Вы мертвы — нажмите здесь и посмотрите статистику,Você morreu. Clique aqui para ver as estatísticas.,Has muerto - haz clic aquí para ver estadísticas,Du bist tot - klicke hier für deine Statistiken,Vous avez péri - cliquez ici pour voir vos statistiques,Sei morto. Clicca qui per visualizzare le statistiche.,"Nie żyjesz – kliknij tutaj, aby zobaczyć statystyki",你死掉了 - 点击此处查看统计,あなたは死にました - ここをクリックして統計を見る,사망했습니다 - 통계를 보려면 클릭,,,,,,,,,,,,,
menugameover_records,RECORDS,РЕКОРДЫ,RECORDES,RÉCORDS,REKORDE,RECORDS,RECORD,REKORDY,记录,記録,기록,,as in 'world record',,,,,,,,,,,
menuoptions_pixelart_aa,Pixel art anti-aliasing: $0,Сглаживание пиксельной графики: $0,Suavização de arte em pixels: $0,Antialiasing de pixel art: $0,Pixel-Art-Anti-Aliasing: $0,Anticrénelage du pixel art : $0,Anti-aliasing pixel art: $0,Antyaliasing pixel artu: $0,像素抗锯齿：$0,ピクセルアートアンチエイリアス処理：$0,픽셀 아트 안티 앨리어싱: $0,,,,,,,,,,,,,
menuoptions_lowres,Low resolution rendering: $0,Отрисовка в низком разрешении: $0,Renderização de resolução baixa: $0,Renderizado de baja resolución: $0,Niedrige Auflösungsqualität: $0,Rendu basse résolution : $0,Rendering bassa risoluzione: $0,Niska rozdzielczość renderowania: $0,低分辨率渲染：$0,低解像度レンダリング：$0,낮은 해상도 렌더링: $0,,,,,,,,,,,,,
menuoptions_lowres_tooltip_exp,EXPERIMENTAL. Might cause minor rendering glitches.,ЭКСПЕРИМЕНТАЛЬНАЯ ФУНКЦИЯ. Могут появиться глюки отрисовки.,EXPERIMENTAL. Pode causar pequenas falhas gráficas.,EXPERIMENTAL. Puede causar pequeños fallos de renderizado.,EXPERIMENTELL. Könnte geringfügige Darstellungsfehler verursachen.,EXPÉRIMENTAL. Risque d'entraîner des erreurs de rendu mineures.,SPERIMENTALE. Potrebbe causare anomalie minori nel rendering.,EKSPERYMENTALNE. Może powodować drobne usterki graficzne.,试验性功能。可能导致少量渲染错误。,実験用です。マイナーなレンダリンググリッチが起こる可能性があります。,실험용 옵션입니다. 렌더링 글리치가 발생할 수 있습니다.,,,,,,,,,,,,,
menuoptions_lowres_tooltip,"Improves rendering performance, but might cause minor rendering glitches.",Улучшает производительность отрисовки. Могут появиться глюки.,"Melhora o desempenho de renderização, mas pode causar pequenas falhas gráficas.",Mejora el rendimiento del renderizado pero puede causar algunos errores menores de renderizado.,"Verbessert Rendering-Leistung, kann aber Darstellungsfehler verursachen.",Améliore les performances du rendu mais risque d'entraîner des erreurs de rendu mineures.,"Migliora le prestazioni di rendering, ma potrebbe causare anomalie minori nel rendering.","Poprawia wydajność renderowania, ale może powodować drobne usterki graficzne.",提升渲染表现，但可能导致少量渲染错误。,レンダリング性能が向上しますが、軽微な不具合が発生するかもしれません。,렌더링 성능을 높입니다. 렌더링 글리치가 발생할 수 있습니다.,,,,,,,,,,,,,
menuoptions_brightness,Brightness,Яркость,Brilho,Brillo,Helligkeit,Luminosité,Luminosità,Jasność,亮度,明るさ,밝기,,,,,,,,,,,,,
menuoptions_contrast,Contrast,Контрастность,Contraste,Contraste,Kontrast,Contraste,Contrasto,Kontrast,对比度,コントラスト,대비,,,,,,,,,,,,,
menuoptions_gamma,Gamma,Гамма,Gama,Gamma,Gamma,Gamma,Gamma,Gamma,伽马校正,ガンマ,감마,,,,,,,,,,,,,
menuoptions_reset_keyboard,Right click to reset to default.,Правая кнопка мыши — вернуть настройки по умолчанию.,Clique com o botão direito para redefinir para o padrão.,Haz clic derecho para volver a la configuración por defecto.,"Rechtsklicken, um auf Standardeinstellungen zurückzusetzen.",Faites un clic droit pour rétablir les réglages par défaut.,Fai clic con il tasto destro per reimpostare ai valori predefiniti.,"Kliknij PPM, aby przywrócić ustawienia domyślne.",右键单击以重置为默认值。,右クリックでデフォルトにリセットしてください。,오른쪽 클릭으로 기본 설정으로 초기화합니다.,,,,,,,,,,,,,
menuoptions_reset_gamepad,Press B to reset to default.,Кнопка B — вернуть настройки по умолчанию.,Aperte B para redefinir para o padrão.,Pulsa B para volver a la configuración por defecto.,"B drücken, um auf Standardeinstellungen zurückzusetzen.",Appuyez sur B pour rétablir les réglages par défaut.,Premi B per reimpostare ai valori predefiniti.,"Naciśnij B, aby przywrócić ustawienia domyślne.",按 B 键重置为默认值。,Bを押してデフォルトにリセットしてください。,B를 눌러 기본 설정으로 초기화합니다.,,,,,,,,,,,,,
menuoptions_musicvolume,Music volume,Громкость музыки,Volume da música,Volumen de la música,Musiklautstärke,Volume de la musique,Volume musica,Głośność muzyki,音乐音量,音楽音量,음악 볼륨,,,,,,,,,,,,,
menuoptions_soundsvolume,Sound effect volume,Громкость звуковых эффектов,Volume dos efeitos sonoros,Volumen de efectos,Tonlautstärke,Volume du son,Volume effetti sonori,Głośność efektów,音效音量,効果音音量,효과음 볼륨,,,,,,,,,,,,,
menuoptions_configurecontrols,Configure controls,Настроить управление,Configurar controles,Configurar controles,Steuerung konfigurieren,Configurer les commandes,Configura comandi,Skonfiguruj sterowanie,控制配置,操作設定,컨트롤 설정,,,,,,,,,,,,,
menuoptions_configurecontrols_reset_all,Reset all to default,Вернуть все настройки по умолчанию,Redefinir tudo para o padrão,Cambiar todo a los valores por defecto,Alles auf Standardeinstellungen zurücksetzen,Tout réinitialiser,Reimposta tutto ai valori predefiniti,Zresetuj wszystko do wartości domyślnych,全部重置为默认值,全てをデフォルトにリセットする,모두 초기화,,,,,,,,,,,,,
menuoptions_configurecontrols_rebind_keyboard,Press the key or button for $0,Нажмите клавишу или кнопку для действия «$0»,Aperte uma tecla ou um botão para $0,Pulsa la tecla o botón para $0,Drücke die Taste oder den Knopf für $0,Appuyer sur la touche ou le bouton pour $0,Premi il tasto o il pulsante per $0,Naciśnij klawisz lub przycisk dla: $0,按下用于“$0”的键或按钮,キーかボタンを押して$0に割り当てる,$0 키 또는 버튼 입력,,,,,,,,,,,,,
menuoptions_configurecontrols_rebind_gamepad,Press the button for $0,Нажмите кнопку для действия «$0»,Aperte um botão para $0,Pulsa el botón para $0,Drücke den Knopf für $0,Appuyer sur le bouton pour $0,Premi il pulsante per $0,Naciśnij przycisk dla: $0,按下用于“$0”的按钮,ボタンを押して$0に割り当てる,$0 버튼 입력,,,,,,,,,,,,,
menuoptions_controls,Gamepad: $0,Геймпад: $0,Controle: $0,Mando: $0,Controller: $0,Manette : $0,Gamepad: $0,Kontroler: $0,游戏手柄：$0,ゲームパッド：$0,게임패드: $0,,,,,,,,,,,,,
menuoptions_mousesensitivity,Mouse sensitivity,Чувствительность мыши,Sensibilidade do mouse,Sensibilidad del ratón,Mausempfindlichkeit,Sensibilité de la souris,Sensibilità mouse,Czułość myszy,鼠标灵敏度,マウス感度,마우스 민감도,,,,,,,,,,,,,
menuoptions_controls_keyboard,Mouse + Keyboard,Мышь + клавиатура,Mouse e teclado,Ratón y teclado,Maus + Tastatur,Clavier + souris,Mouse e tastiera,Mysz + klawiatura,鼠标 + 键盘,マウス + キーボード,마우스 + 키보드,,,,,,,,,,,,,
menuoptions_controls_autodetectgamepad,Auto-detect,Автоопределение,Detectar automaticamente,Detectar automáticamente,Automatisch erkennen,Détection auto de la manette,Rileva automaticamente,Autom. wykrywanie,自动检测,自動検出,자동 탐지,,,,,,,,,,,,,
menuoptions_gamepad_rumble,Gamepad rumble intensity,Громкость вибрации геймпада,Intensidade da vibração do controle,Intensidad de vibración del mando,Gamepad-Vibrationsintensität,Intensité des vibrations de la manette,Intensità vibrazione gamepad,Intensywność wibracji kontrolera,游戏手柄振动强度,ゲームパッドのランブル強度,게임패드 진동 강도,,,,,,,,,,,,,
menuoptions_ui_inventory_icons_always_clickable,Click on icon switches item: $0,При щелчке по значку меняется предмет: $0,Clicar no ícone troca o item: $0,Hacer clic en el icono cambia el objeto: $0,Klicken auf das Symbol wechselt den Gegenstand: $0,Cliquer sur l'icône change l'objet : $0,Cliccare sull'icona cambia l'oggetto: $0,Kliknięcie ikony zmienia przedmiot: $0,点击图标切换物品：$0,アイコンをクリックして次のアイテムを切り替え： $0,아이콘을 클릭하여 아이템 교체: $0,,,,,,,,,,,,,
menuoptions_application_rendered_cursor,Game renders the cursor: $0,Отрисовка курсора игрой: $0,Ponteiro renderizado do jogo: $0,Cursor renderizado: $0,Vom Spiel angepasster Mauszeiger: $0,Curseur de l'application : $0,Rendering del cursore: $0,Kursor renderowany przez grę: $0,游戏渲染指针：$0,カーソルのレンダリング： $0,게임에서 커서를 렌더링: $0,,,,,,,,,,,,,
menuoptions_screenshake_intensity,Screen shake intensity,Интенсивность дрожания экрана,Intensidade do tremor da tela,Intensidad de temblor de pantalla,Bildschirm-Erschütterungsintensität,Intensité des tremblements,Intensità tremolio schermo,Intensywność drgań ekranu,画面振动强度,画面振動強度,화면 흔들림 강도,,,,,,,,,,,,,
menuoptions_damagenumbers,Damage numbers: $0,Цифры урона: $0,Números de dano: $0,Cantidades de daño: $0,Schadenszahlen: $0,Quantité de dégâts : $0,Indicatore danni: $0,Liczby obrażeń: $0,伤害数值：$0,ダメージ数： $0,대미지 수치: $0,,,,,,,,,,,,,
menuoptions_replayrecorder,Replay recorder: $0,Запись повторов: $0,Gravador de replay: $0,Grabadora de repeticiones: $0,Wiederholungs-Aufnahme: $0,Enregistreur de vidéos : $0,Registra replay: $0,Nagrywanie powtórek: $0,回放录像机：$0,リプレイレコーダー： $0,리플레이 기록: $0,,,,,,,,,,,,,
menuoptions_checkforupdates,Check for updates: $0,Проверка наличия обновлений: $0,Procurar atualizações: $0,Buscar actualizaciones: $0,Auf Updates überprüfen: $0,Rechercher les mises à jour : $0,Controlla aggiornamenti: $0,Sprawdzanie aktualizacji: $0,检查更新：$0,アップデートを確認： $0,업데이트 확인: $0,,,,,,,,,,,,,
menuoptions_language,Language: English,Язык (Language): русский,Idioma (Language): Português (Brasil),Idioma (Language): español,Sprache (Language): Deutsch,Langue (Language) : français,Lingua (Language): italiano,Język (Language): polski,语言 (Language)：简体中文,言語 (Language)： 日本語,언어 (Language): 한국어,,,,,,,,,,,,,
menuupdatenotification_title,NEW UPDATE AVAILABLE,ВЫШЛО ОБНОВЛЕНИЕ,NOVA ATUALIZAÇÃO DISPONÍVEL,NUEVA ACTUALIZACIÓN DISPONIBLE,NEUES UPDATE VERFÜGBAR,NOUVELLE MISE À JOUR DISPONIBLE,NUOVO AGGIORNAMENTO DISPONIBILE,DOSTĘPNA JEST NOWA AKTUALIZACJA,有新的更新,最新アップデート利用可能,새 업데이트 사용 가능,,,,,,,,,,,,,
